Donor 1 (2dpi) had 2259287 read pairs before Bowtie2 filtering and 3672940 read pairs after.
Donor 1 (6dpi) had 2004530 read pairs before Bowtie2 filtering and 2868934 read pairs after.
spades.py -k 99 -t 1 --isolate -1 mapped_2dpi.1.fastq -2 mapped_2dpi.2.fastq -1 mapped_6dpi.1.fastq -2 mapped_6dpi.2.fastq -o HCMV_combined_assembly
There are 57 contigs > 1000bp in the assmbly.
There are 82235 bp in the assembly.
sacc	pident	length	qstart	qend	sstart	send	bitscore	evalue	stitle
EF999921.1	100.000	3143	1	3143	135705	132563	5805	0.0	EF999921.1 Human herpesvirus 5 strain TB40/E clone TB40-BAC4, complete sequence
KF297339.1	100.000	3143	1	3143	103664	100522	5805	0.0	KF297339.1 Human herpesvirus 5 strain TB40/E clone Lisa, complete genome
KR534201.1	100.000	3143	1	3143	102864	99722	5805	0.0	KR534201.1 Human herpesvirus 5 strain JER2002, complete genome
KP745704.1	100.000	3143	1	3143	103222	100080	5805	0.0	KP745704.1 Human herpesvirus 5 strain BE/32/2011, complete genome
KP745675.1	100.000	3143	1	3143	102835	99693	5805	0.0	KP745675.1 Human herpesvirus 5 strain BE/23/2011, complete genome
KP745660.1	100.000	3143	1	3143	102677	99535	5805	0.0	KP745660.1 Human herpesvirus 5 strain BE/6/2011, complete genome
KX544839.1	100.000	3143	1	3143	135667	132525	5805	0.0	KX544839.1 Human betaherpesvirus 5 isolate TB40-E_UNC, complete genome
MT070140.1	100.000	3143	1	3143	103435	100293	5805	0.0	MT070140.1 UNVERIFIED: Human betaherpesvirus 5 isolate P10, complete genome
MW439039.1	100.000	3143	1	3143	103063	99921	5805	0.0	MW439039.1 Human betaherpesvirus 5 strain TB40/EE, complete genome
MW528463.1	100.000	3143	1	3143	102941	99799	5805	0.0	MW528463.1 Human betaherpesvirus 5 isolate BM18, complete genome
